,location,title,company,salary,summary,rating,JT
43,"Bengaluru, Karnataka",Data Scientist (Operation Research),Anzy Careers Private Limited,"₹13,00,000 - ₹24,00,000 a yearFull-timeDay shift","
2+ independent projects outside coursework in Optimization, Simulator Design and AI/ML.
Also, experience of applying optimization solvers in solving real-world…
",NA,Data+Scientist
44,"Bengaluru, Karnataka",newData Scientist Senior,FIS Global,Full-time,"
A deep understanding of Machine Learning algorithms, data, data challenges, quality issues and visualization techniques that allows you to do data story telling…
",3.4,Data+Scientist
45,"Bengaluru, Karnataka+1 location",newAdvanced Data Scientist,Honeywell,NA,"
Work experience / education in data science, data engineering and analytics.
Develop and maintain scalable data pipelines, infrastructure, API integrations to…
",3.7,Data+Scientist
46,"Hybrid remote in Chennai, Tamil Nadu",newData Scientist,CredAvenue,Full-time,"
The Data Science team is responsible for providing data driven solutions on Cred Avenue utilizing data generated across the ecosystem.
Food is on the house.
",NA,Data+Scientist
47,"Hyderabad, Telangana",Data Scientist,Kreaas Technology Solutions Private Limited,"₹4,10,983 - ₹15,42,344 a yearFull-timeDay shift","
Assess the quality of data and remove or clean data.
Organizing data into usable formats.
Transforming data to produce sound datasets.
Experience: 1 to 2 years.
",NA,Data+Scientist
48,"Bengaluru, Karnataka",Data Scientist (Analyst),Scienaptic Systems,Full-time,"
Coming up with data driven solutions to control risk.
The Data Scientist role will enable you to be at the forefront of latest cutting-edge technology and…
",4.5,Data+Scientist
49,"Bengaluru, Karnataka+1 location",newData Scientist,Oracle,NA,"
Advanced ability to perform exploratory data analysis and data visualization skills.
Work with fellow data scientists & architects to build out and maintain all…
",3.8,Data+Scientist
50,"Chennai, Tamil Nadu",newData Science Analyst,Shell,NA,"
Passion for data with strong analytical mindset and focus on drilling data for commercial insight.
Need to identify relevant data sources available and pro…
",3.9,Data+Scientist
51,"Bengaluru, Karnataka",newRevenue Managment - Data Scientist,"JPMorgan Chase Bank, N.A.",NA,"
3+ years experience doing quantitative data analysis, ideally in online payments industry.
Excellent communication and presentation skills, and proven ability…
",3.8,Data+Scientist
52,"Bengaluru, Karnataka",Data Scientist-AI/ML,Synopsys,NA,"
4+ years of industry experience working as a data scientist/Engineer or similar.
You will work with domain experts to identify the most efficient way to collect…
",4.1,Data+Scientist
53,"Mumbai, Maharashtra",Manager - Financial Insights & Analytics (Data Scientist),Mahindra & Mahindra Ltd.,NA,"
Ability to handle big and complex data.
Understand and Implement algorithms and statistical models on technical tools such as R, Python.
",4.2,Data+Scientist
54,"Bengaluru, Karnataka",newPrincipal Data Scientist,Walmart Global Tech India,NA,"
Understand the business problem and develop data science based solution.
Lead the discovery phase of medium to large data science projects to come up with high…
",NA,Data+Scientist
55,"Chennai, Tamil Nadu",Data Engineer/Data Science with Python,Resource Tree,"₹1,09,996 - ₹5,00,220 a year","
Primary Skills: Python,Linux,SQL / PL SQL Secondary Skills: SQL / PL SQL Role Description: Data engineering role requires creating and managing technological…
",NA,Data+Scientist
56,"Bengaluru, Karnataka",Associate Professional - Data Scientist / Analytics,Sutherland,NA,"
Should have hands on experience in one of the programming tools for over 4- 8 yrs: R, Python (preferably Python).
Nice to have: Text Analytics experience.
",3.6,Data+Scientist
57,"Chennai, Tamil Nadu",newData Scientist,Flex,NA,"
The role is response for all business data analysis.
Collect data and facts from all kinds of sources and conduct the analysis.
",3.9,Data+Scientist
58,"Delhi, Delhi",newData Scientist,Geninvo,"₹18,00,000 - ₹24,00,000 a year","
Advising/mentoring data scientists and business partners on applying NLP in their work.
Experience with data visualization libraries such as Matplotlib, plotly,…
",NA,Data+Scientist
59,"Coimbatore, Tamil Nadu+1 location",Data Scientist,ZF,NA,"
You bring strong knowledge in data query languages like SQL and languages for data processing & process automation like Python, PowerShell.
",3.9,Data+Scientist
60,"Pune, Maharashtra",newData Scientist,Coditation Systems,NA,"
Hands on experience in handling large data sets strongly preferred.
A Data Scientist who would take responsibility to help the team with building automated…
",NA,Data+Scientist
61,"Chennai, Tamil Nadu",newBusiness Analytics and Reporting specialist,NOKIA,NA,"
Identify gaps in data collection and support data collection improvements resulting in less manual work and up-to-date information.
",4.1,Data+Scientist
62,"Bengaluru, Karnataka",newRisk Analyst 2,PayPal,NA,"
Leveraging data analysis tools and technologies.
Ensuring the team is delivering on our KPIs by using various data mining and data visualization tools to…
",3.9,Data+Scientist
63,"Noida, Uttar Pradesh",newSenior Data Scientist - Multiple Locations,Optum,NA,"
Deliver data science solutions leveraging latest machine learning techniques, including exploratory data analysis, feature engineering and selection, model…
",3.4,Data+Scientist
64,"Bengaluru, Karnataka",newLead Data Scientist,Apar Technologies,"₹24,00,000 - ₹28,00,000 a year","
Strong knowledge of common data science toolkits like tools like R / Python.
Lead Data Scientist with minimum 6+ years hands-on Data Science experience and…
",3.9,Data+Scientist
65,"Bengaluru, Karnataka",newSenior NLP Data Scientist,Shell,NA,"
Our team develops the advanced products and technologies Shell needs to meet customer demand.
As a Senior NLP Data Scientist, you will sit across project teams…
",3.9,Data+Scientist
66,"Mumbai, Maharashtra",Data Scientist,Avalor,"₹4,08,570 - ₹15,47,875 a year","
Good knowledge about unstructured data analysis methodologies(NLP, NLG).
Must have 1+ years of Experience in deep learning methods.
",NA,Data+Scientist
67,"Bellandur, Bengaluru, Karnataka",Associate Data Scientist,Airtel India,NA,"
Incident management & Change management of around 400 NMS/EMS instances.
Major upgrades & Bug fixing of 400 NMS/EMS instances.
",4.1,Data+Scientist
68,"Gurgaon, Haryana",Data Scientist,Impetus Technologies,NA,"
Solution creation from structured/unstructured data.
Machine Learning model development engineers with Natural Language Processing(NLP) and Computer Vision,…
",4.2,Data+Scientist
69,"Bengaluru, Karnataka",Data Scientist,Aisera,NA,"
Own a large part of the process to enforce data governance and privacy while improving data quality and reliability.
Excellent knowledge of NLP/ML frameworks.
",NA,Data+Scientist
70,"Chennai, Tamil Nadu",Senior Data Analyst - Product Analytics,Freshworks,NA,"
Filter and cleanse unstructured (or ambiguous) data into usable data sets that can be analyzed to extract insights and improve business processes.
",4.1,Data+Scientist
71,"Bengaluru, Karnataka",Data Scientist - All Levels,Greenizon Agritech Consultancy,NA,"
Presenting information using data visualization techniques.
Identifying valuable data sources and automate collection processes.
",NA,Data+Scientist
72,"Bengaluru, Karnataka",Data Scientist,Société Générale,NA,"
The Data Scientist will support our software developers, database architects, data analysts and data engineers on data initiatives and will ensure optimal data…
",3.8,Data+Scientist
73,"Bengaluru, Karnataka",newAssociate Data Scientist,Shell,NA,"
Collaborate with a broad community of data scientists and data engineers.
Assure data quality and data integrity.
Should be able to handle complex SQL queries.
",3.9,Data+Scientist
74,"Bengaluru, Karnataka",Data Scientist: Artificial Intelligence,IBM,NA,"
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and…
",3.9,Data+Scientist
75,Remote,Data Scientist (experienced),Codvo.ai,"₹4,21,657 - ₹16,47,428 a year","
Familiar with modern data analytics architecture and data engineering technologies.
Own complex data science workflows with the Data Engineering team.
",NA,Data+Scientist
76,"Bengaluru, Karnataka",Data Scientist,RELX,NA,"{Empty} RELX is an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed,…",NA,Data+Scientist
77,"Temporarily Remote in Bengaluru, Karnataka",Decision Scientist,sharechat,NA,"
Experience finding, cleaning, and manipulating data to build large scale data sets.
2+ years of experience in data analysis, data science, decision science, or…
",4.5,Data+Scientist
78,"Bengaluru, Karnataka+1 location",Data Scientist,Ericsson,NA,"
Decide approach for data science.
Design & perform data science experiment.
Convert data into actionable insights.
Synthesize problems into data question(s).
",4.1,Data+Scientist
79,"Hyderabad, Telangana",newAI & ML Engineer,Techneurons Consulting Solutions,NA,"
We are looking for Machine Learning Engineers having understanding in ML/AI/DL to help us create Map related AI products.
",3.3,Data+Scientist
80,"Chennai, Tamil Nadu+1 location","Prin, Data Scientist",BNY Mellon,NA,"
Excellent analytical and big-data skills.
Previous experience at next-gen analytics or big-data fintech companies strongly preferrece.
",3.5,Data+Scientist
81,"Bengaluru, Karnataka",Data Scientist,Anzy Careers Private Limited,"₹20,00,000 a year","
Should have a proven track record of co-ordinating with product managers, data engineers and other stake-holders.
Good proficiency in Python, Scala and Pyspark.
",NA,Data+Scientist
82,"Bengaluru, Karnataka",Data Scientist,BitGo,NA,"
Familiarity with data warehouse development and best practices.
2+ years industry experience in data analytics field for those with Masters degree / 3+ years…
",NA,Data+Scientist
83,"Hyderabad, Telangana",newData Scientist V,IGT,NA,"
Professional experience working with database developers and data engineers to ensure the data points are optimally tuned for machine learning algorithms and…
",3.7,Data+Scientist
84,"Bengaluru, Karnataka",Data Scientist - Signal Processing,Mercedes-Benz Research and Development India...,NA,"
Have experience in handling data workflow and monitoring big data application.
Familiarity with data engineering is also a must.
",4.0,Data+Scientist
85,"Temporarily Remote in Mumbai, Maharashtra",Machine Learning Scientist,Wadhwani AI,NA,"
Ideal candidates should have a strong research background and be adept at a variety of data mining/analysis methods and tools, building and implementing models,…
",NA,Data+Scientist
86,"New Delhi, Delhi",Data Scientist,Eoraa & Co.,NA,"
Proficient with Python/R.
Strong communication and presentation skills.
Knowledge of various analytical approaches.
",NA,Data+Scientist
87,"Mumbai, Maharashtra+1 location",newData Scientist,Tech mahindra,NA,"
10+ years of experience working in a data science position Experience with common programming languages and tools for data science like Python Experience…
",3.7,Data+Scientist
88,"Verna, Goa",newData Scientist in Goa/Bangalore,Intelliveiw,"₹5,00,000 - ₹15,00,000 a year","
3+ years of IT experience in data scientist / software development for large corporate/organizations.
4.Performing Industry research & correlating data of…
",NA,Data+Scientist
89,"Bengaluru, Karnataka",Data Scientist - I/II,sharechat,NA,"
Apply state of the art in the relevant research domains to make significant contributions to the feature roadmap of the ShareChat app in the aforementioned…
",4.5,Data+Scientist
90,"Gurgaon, Haryana",newSenior Manager - Data Science,Amex,NA,"
Keen on exploration and analysis of data from various data sources, translate the same to excellent visual case studies.
",4.1,Data+Scientist
91,"Chennai, Tamil Nadu+1 location","Sr. Prin, Data Scientist",BNY Mellon,NA,"
Up-to-date Python Engineering Skiils, particularly strong knowledge of Numpy/Pandas, reflection, data structure and functional programming.
",3.5,Data+Scientist
92,"Bengaluru, Karnataka",newLead Machine Learning Scientist,HP,NA,"
Understanding of data structures, data modelling and software architecture.
Work alongside data scientists and product owners to improve aspects of their lines…
",NA,Data+Scientist
93,"Pune, Maharashtra",Data Scientist,CityLink Technology Solutions,NA,"
Analyze data for trends and patterns, and Interpret data with a clear objective in mind.
Present information using data visualization techniques.
",NA,Data+Scientist
94,"Pune, Maharashtra",newManager- Data Science,Merkle Sokrati,NA,"
Train the team of junior data scientists to upskill them in AIML.
3+ years core data science/analytics experience.
Complete a variety of atypical assignments.
",3.9,Data+Scientist
95,"Noida, Uttar Pradesh",Data Science / Machine Learning Trainer,UniConverge Technologies Pvt. Ltd.,"₹4,08,162 - ₹16,18,408 a year","
Give training on Data Science, Machine Learning and AI.
Job Types: Full-time, Part-time, Freelance.
Part-time hours: 12 per week.
",3.0,Data+Scientist
96,"Chennai, Tamil Nadu+1 location",Clinical Data Programming Scientist,Accenture,NA,"
Designation: Clinical Data Programming Scientist.
Years of Experience: 5-8 years.
Employees under this span will be a part of one of the sub-offerings -…
",4.0,Data+Scientist
97,Temporarily Remote in India,Associate Machine Learning Scientist,Wadhwani AI,NA,"
In order to apply machine learning for social good, you will need to understand user challenges and their context, curate and transform data, train and validate…
",NA,Data+Scientist
98,"Pune, Maharashtra",newPython/Data Science Developer,SSP Technology,NA,"
Exposure to Image processing, Data Mining, Signal processing, Anaconda and Spyder/ Pycharm IDE.
Strong Knowledge of Flask or Django Web Framework.
",4.1,Data+Scientist
99,India,newData Scientist Role,Denave,NA,"
Data scientist would be responsible for Experience in data mining, data wrangling, machine learning.
Should have Experience in data mining, data wrangling,…
",NA,Data+Scientist
100,"Bengaluru, Karnataka",Data Scientist,Mercedes-Benz Research and Development India...,NA,"
Assess the effectiveness of data sources and data-gathering techniques and provide input to improve data engineering methods.
",4.0,Data+Scientist
101,"Bengaluru, Karnataka",Data Scientist,Paktolus,NA,"
Should have experience in building & designing data warehouses.
Should have experience in working with API’s - deploying models, extracting data.
",NA,Data+Scientist
102,Delhi,3B_Senior Data Scientist,Incedo,NA,"
Ability to mentor data scientists and critically evaluate the approaches discussed.
Hands-on with common data processing techniques.
",NA,Data+Scientist
103,"Pune, Maharashtra+3 locations",newData Science,Accenture,NA,"
Project Role Description : Manage, architect and analyze big data in order to build data driven insights and high impact data models.
",4.0,Data+Scientist
104,"Mumbai, Maharashtra+1 location",Data Scientist-CAI,HDFC Bank,NA,"
Hands-on experience in data wrangling (ETL), feature engineering, building and deploying scalable machine learning algorithms.
",3.9,Data+Scientist
105,"Ahmedabad, Gujarat",Data Scientist,ProtocolZone Private Limited,"₹3,00,000 - ₹6,00,000 a year","
Masters in Statistics, Mathematics or any other masters with very good analytical skills, Phd in Mathematics or Statistics.
Total work: 1 year (Preferred).
",NA,Data+Scientist
106,"Bengaluru, Karnataka",Data Science People Analytics,Unisys,NA,"
Apply your expertise in people research, quantitative analysis, data science and data visualization.
Experience in conducting primary and secondary research…
",3.6,Data+Scientist
107,"Bengaluru, Karnataka",newLead Data Scientist,Honeywell,NA,"
Manage and mentor junior data scientists to create cutting edge data-driven systems and technologies that can considerably impact the business outcomes.
",3.7,Data+Scientist
108,"Bengaluru, Karnataka+1 location",Data Scientist II,ADCI - Karnataka,NA,"
Demonstrate understanding and experience with relational data sets, data warehouses, data mining and data analysis techniques.
",3.5,Data+Scientist
109,"Ahmedabad, Gujarat",newData and Tech Associate – MyQuest,QuestAlliance,NA,"
Supporting regional and project teams to collate required data for reporting.
Experience in data visualization and relevant skills will be added value.
",NA,Data+Scientist
110,"Bengaluru, Karnataka",newSenior Clinical Data Scientist,AstraZeneca,NA,"
Experience in programming, testing and/or applying data science methods in clinical development setting.
At minimum 5-7 years of experience in applied data…
",4.1,Data+Scientist
111,India,AI - Machine learning/ Data Analytics,Ignitarium Technology Solutions,NA,"
Understanding of data structures, data modeling and software architecture.
Proven experience as a Machine Learning Engineer or similar role.
",5.0,Data+Scientist
112,"Chennai, Tamil Nadu",Data Scientist - Operations Research,Ford India Pvt Ltd,NA,"
Expertise in working with large data sets and developing algorithms with high computational complexity to provide scalable and efficient solutions.
",4.1,Data+Scientist
113,"Bengaluru, Karnataka",Senior Data Scientist - Logistics,GO-JEK,NA,"
In this role, you will get to mine insights from the sea of data, build data products, and design experiments with the ability to see the real-time impact of…
",NA,Data+Scientist
114,"Bengaluru, Karnataka",Data Scientist,Atonarp,NA,"
Demonstrate that your ideas ‘work’ - implement your ideas on data.
Design, code, test (unit & functional) and maintain modules of the software.
",NA,Data+Scientist
115,"Hyderabad, Telangana+2 locations",newSr. Data Scientist,Incedo,NA,"
Exploratory Data Analysis: Basic and Advanced data exploration.
Perform tasks such as data ingestion, munging.
Data Preparation: Cleaning and Transformation.
",NA,Data+Scientist
116,"Bengaluru, Karnataka",IN4 | Senior Data Scientist | FY23 | SPOT - 1,Walmart Global Tech India,NA,"
We are building smart data systems that ingest, model and analyse massive flow of data from online and offline user activity.
",NA,Data+Scientist
117,"Mumbai, Maharashtra",Data Scientist,Deutsche Bank,NA,"
Experience with relevant data providers such as Morningstar, eVestment, Broadridge.
Our objective is to develop and implement state of the art analytical models…
",3.8,Data+Scientist
118,"Mumbai, Maharashtra",Head of Data Analytics,SelFin India Financial Services,NA,"
Create and oversee processes for data protection and data governance • Identify relevant vendors / solutions and maintain relationships.
",NA,Data+Scientist
119,"Bengaluru, Karnataka",Data Scientist,Vahak,NA,"
Demonstrated experience applying data science methods to real-world data problems.
Present information using data visualization techniques.
",NA,Data+Scientist
120,"Jaipur, Rajasthan",newGIS Data Analyst,Khushi Baby,NA,"
Produce reports on geographic data utilizing data visualizations.
Designing digital maps with geographic data and other data sources.
",NA,Data+Scientist
121,"Chennai, Tamil Nadu+1 location",newMarketing Data Scientist,BNY Mellon,NA,"
Automate data ingestion from various first and third party data sources, synthesize data, perform QA to ensure data accuracy in order to drive insights that…
",3.5,Data+Scientist
122,Remote,Data Scientist,Blazeclan Technologies,NA,"
Looking for a candidate who has a strong understanding of ML/AI processes from understanding Client's Business Requirements to Deployment.
",3.4,Data+Scientist
123,"Gurgaon, Haryana",Data Scientist,Lenskart,NA,"
Leverage customer data to build churn models , propensity models etc.
Leverage customer chat data for applications in text analytics such as sentiment analysis,…
",3.5,Data+Scientist
124,Remote,Data Scientist,Indium Software,NA,"
# Present information using data visualization techniques.
# Experience using statistical computer languages (Python, SQL, etc.) to manipulate data and draw…
",3.7,Data+Scientist
125,"Remote in Noida, Uttar Pradesh",Data Science Trainer,Clevered,₹200 an hour,"
1.Candidate must have completed his/her studies.
Machine Learning algorithms (classification, regression, clustering, ensemble learning etc).
",NA,Data+Scientist
126,"Bengaluru, Karnataka",Data Scientist,Maersk,NA,"
Identify and operationalize valuable insights from the data into business and digital applications.
Ability to effectively communicate data science results and…
",4.1,Data+Scientist
127,Remote,newRemote Data Scientist (Python),Turing,NA,"
At least 3+ years of relevant experience as a data scientist.
The selected candidate will be working closely with Product, Engineering, Finance, and Operations…
",NA,Data+Scientist
128,"Mumbai, Maharashtra",Data Scientist,Boppo Technologies,NA,"
Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Combine models through ensemble modeling.
",NA,Data+Scientist
129,Remote,Data Scientist,Cliksource,NA,"
Experience working with clinical data.
Experience with the FHIR standard for medical data.
Familiarity with Jupyter notebooks or other data science tools.
",NA,Data+Scientist
130,"Noida, Uttar Pradesh",Data Scientist,Crowe,NA,"
A combination of data scientists and machine learning engineers create and deploy AI functionality into software to solve complex problems.
",3.6,Data+Scientist
131,"Kochi, Kerala+1 location",Data Scientist,IBM,NA,"
Scripting data cleaning and gathering tools.
Computer Science fundamentals in data structures and problem solving.
",3.9,Data+Scientist
132,"Thiruvananthapuram, Kerala",Data Science Internship,Oracuz Infotech Pvt Ltd Company,NA,"
We are providing six months internship for Data Scientist.
After the training we will hire the candidates through our company.
",NA,Data+Scientist
133,"Bengaluru, Karnataka",Data Scientist - Driver Platform,GO-JEK,NA,"
The Driver Platform data team is a 13+ member team consisting of data analysts, decision scientists and data scientists based in Jakarta and Bangalore.
",NA,Data+Scientist
134,"Thiruvananthapuram, Kerala",newAnalytics Engineer,Inapp Information Technology,NA,"
Accelerates and automates data engineering, data preparation, and analysis.
Skilled in using data science solutions to tackle complex business problems.
",NA,Data+Scientist
135,"Bengaluru, Karnataka",MBOS_Data Science Engineer - Image Database,Mercedes-Benz Research and Development India...,NA,"
Knowledge of data warehouse technologies and relevant data modeling best practices.
Develop and maintain expertise in advanced and/or emerging data management…
",4.0,Data+Scientist
