,location,title,company,salary,summary,rating
20471,"Bengaluru, Karnataka",newData Science Engineer,HP,NA,"
Knowledge of data processing techniques and data preprocessing requirements for the common machine learning approaches.
Knowledge of data collection techniques.
",4.0
20472,"Bengaluru, Karnataka",Data Engineer (8-10 years),Cisco Systems,NA,"
Reporting to Director of Engineering and Sustainability, Corporate Affairs, this position will ideally be filled by a seasoned developer with engineering…
",4.1
20473,"Gurgaon, Haryana",Sr. Engineering Manager - Big Data/Data Eng.,Amex,NA,"
Hands-on engineer with expertise in developing complex, large scale enterprise applications.
Responsible for technical aspects of software engineering for…
",4.1
20474,"Chennai, Tamil Nadu",Tech Support Engineer,Standard Chartered,NA,"
Reverse engineering requirements and develop process models as needed to support automation delivery.
Ensuring the quality and timeliness of delivery.
",4.1
20475,"Bengaluru, Karnataka",Azure Data Engineer,Ecolab,NA,"
Experience building and optimizing ‘big data’ data pipelines, architectures and data sets.
Working knowledge of message queuing, stream processing, and highly…
",3.5
20476,"Mohali, Punjab",Data Engineer/Sr. Data Engineer – Analytics,Grazitti,NA,"
Utilize programmatic and quantitative methods to identify patterns and relationships in large data sets, as well as apply mathematical, statistical, and other…
",NA
20477,"Pune, Maharashtra",Big Data Engineer - AVP,Deutsche Bank,NA,"
Working knowledge of testing tools relevant to the big data landscape, CI & CD pipelines for automated integration and deployment of code.
",3.8
20478,"Bengaluru, Karnataka","newSr. Data Engineer (Big Data, Hadoop, Java)",Visa,NA,"
This role will participate in design discussions, create solutions, develop programs and ensure successful delivery of business capabilities.
",3.9
20479,"Hyderabad, Telangana",Senior QA Engineer,Anaqua,NA,"
Design, write and execute automated and manual test plans against business requirements.
Define scope of testing within the context of each release / sprint.
",NA
20480,"Nanded, Pune, Maharashtra",Big Data Lead,FIGmd,NA,"
Exploring new technology trends and leveraging them to simplify big data ecosystem.
Architecting, Designing, Building and supporting mission critical big data…
",2.5
20481,Telangana,Data Engineer - Finance Platform,DBS Bank,NA,"
5-10 years solid hands-on experience with HADOOP, SPARK and HIVE using Java.
Expert level knowledge in Spark Tuning and ensuring best practices across project.
",3.9
20482,"Bengaluru, Karnataka+1 location",newSoftware Development Engineer,Adobe,NA,"
Strong computer science fundamentals & deep data structures knowledge.
The challenge: We are looking for innovative and passionate full-stack developers with a…
",4.3
20483,"Hyderabad, Telangana","Software Engineer - Big Data - Hyderabad, TG",Optum,NA,"
Integrating the end to end data pipleline to take data from source systems to target data repositories ensuring the quality and consistency of data is…
",3.4
20484,"Chandigarh, Chandigarh",Senior Data Engineer,Emerson,NA,"
Azure Data Factory skills is big plus.
Develop optimum ETL designs working with different data sources i.e. SAP, Oracle, JDE, Share point, Excel, other files.
",3.8
20485,India,Google Platform Data Engineer,BIG IT JOBS,NA,"
Migrate and re-engineer existing services from on-premises data centres to Cloud (GCP).
Hands-on experience in data engineering projects.
",NA
20486,"Remote in Mumbai, Maharashtra",Senior Data Engineer,Lifescan,NA,"
Previous experience as a data engineer or in a similar role.
Technical expertise with data models, data mining, and segmentation techniques.
",NA
20487,"Pune, Maharashtra",newAssociate Data Engineer,Community Brands,NA,"
Perform data analysis required to troubleshoot data related issues and assist in the resolution of data issues.
Write unit/integration tests and document work.
",3.2
20488,"Mumbai, Maharashtra",Data Engineer,Crimson AI,NA,"
Help data scientist to easily retrieve the needed data for their evaluations and experiments.
Experience of handling various data types and structures…
",NA
20489,"Bengaluru, Karnataka",QA Engineer - Cloud Data Services,Hewlett Packard Enterprise,NA,"
Consults with development engineers in resolution of problems.
Providing with new ways to deliver and manage IT on-premises and in the cloud.
",3.8
